Date,Daxia,Denn,Bo,HTP,JX,Lian,Linq,Man,Monkey,TP,Six,XJ,XZ,Yi,consume,pool
20191101,,,,,,156,,,258,-384,-1094,,1053,11,,76.8
20191104,-48,,,,-1000,,,,,-191,,94,,1145,,76.8
20191106,380,-300,,11,-300,-400,,,371,579,23,8,-400,28,,76.8
20191107,658,-283,,720,,,,,-400,,271,-22,-344,-600,,76.8
20191108,174,,,,,,,,-457,-600,,462,638,-217,,76.8
20191111,438,-159,,-632,,-14,,,,-900,870,290,-400,507,,76.8
20191112,317,388,,-746,,,,166,,-600,-500,-135,405,705,,76.8
20191113,,-219,,,-300,,,18,69,143,,,-172,430,,107.8
20191114,,-75,,,,-39,,220,136,129,-113,,-368,100,,15.8
20191115,,289,,-451,,59,,153,,-500,147,890,-600,,,28.8
20191119,,,,65,,-315,,730,,500,-451,,-297,-232,,28.8
20191120,,,,-421,,,,649,-3,208,,,-433,0,,28.8
20191121,,35,,,,118,,688,,-292,,,76,-625,,28.8
20191122,,423,,-221,,66,,-600,,134,200,,22,-34,,38.8
20191127,,-300,,14,,,,456,,1,,,-74,-97,,38.8
20191128,,-164,,,,,,,70,320,,,-226,,,38.8
20191129,,-115,,,,,,170,-474,265,200,,-72,,,64.8
20191202,,-70,,233,,,,0,,437,,,-600,,,64.8
20191203,,40,,245,,-60,,,,-300,-34,-62,171,0,,64.8
20191204,,-140,-63,-483,758,,,,-35,-283,,-252,459,39,,100
20191205,,-375,,-6,258,,,,,,143,-128,40,17,,22
20191209,,237,,,,,,-135,84,62,,-248,,,,61
20191210,,209,,,,,,133,,,-372,84,-120,66,,109
20191211,,308,,-103,53,,,444,-400,292,-366,-406,-164,159,166,126
